Actions,Rewards,States,Stock_Log
Strawberry + Lotus,-171.23553252220154,[50 40 30],"{'Banana': 50, 'Choco': 40, 'Strawberry': 29}"
Strawberry + Lotus,-171.23553252220154,[50 40 29],"{'Banana': 50, 'Choco': 40, 'Strawberry': 28}"
